UF;Tipo Crime;Ano;Mês;Ocorrências
Alagoas;Estupro;2015;1;38
Alagoas;Furto de veículo;2015;1;67
Alagoas;Homicídio doloso;2015;1;186
Alagoas;Lesão corporal seguida de morte;2015;1;1
Alagoas;Roubo a instituição financeira;2015;1;1
Alagoas;Roubo de carga;2015;1;10
Alagoas;Roubo de veículo;2015;1;297
Alagoas;Roubo seguido de morte (latrocínio);2015;1;5
Alagoas;Tentativa de homicídio;2015;1;40
Alagoas;Estupro;2015;2;40
Alagoas;Furto de veículo;2015;2;51
Alagoas;Homicídio doloso;2015;2;147
Alagoas;Lesão corporal seguida de morte;2015;2;0
Alagoas;Roubo a instituição financeira;2015;2;1
Alagoas;Roubo de carga;2015;2;3
Alagoas;Roubo de veículo;2015;2;208
Alagoas;Roubo seguido de morte (latrocínio);2015;2;6
Alagoas;Tentativa de homicídio;2015;2;62
Alagoas;Estupro;2015;3;55
Alagoas;Furto de veículo;2015;3;41
Alagoas;Homicídio doloso;2015;3;132
Alagoas;Lesão corporal seguida de morte;2015;3;1
Alagoas;Roubo a instituição financeira;2015;3;4
Alagoas;Roubo de carga;2015;3;9
Alagoas;Roubo de veículo;2015;3;271
Alagoas;Roubo seguido de morte (latrocínio);2015;3;8
Alagoas;Tentativa de homicídio;2015;3;65
Alagoas;Estupro;2015;4;52
Alagoas;Furto de veículo;2015;4;52
Alagoas;Homicídio doloso;2015;4;126
Alagoas;Lesão corporal seguida de morte;2015;4;1
Alagoas;Roubo a instituição financeira;2015;4;1
Alagoas;Roubo de carga;2015;4;3
Alagoas;Roubo de veículo;2015;4;269
Alagoas;Roubo seguido de morte (latrocínio);2015;4;2
Alagoas;Tentativa de homicídio;2015;4;65
Alagoas;Estupro;2015;5;47
Alagoas;Furto de veículo;2015;5;57
Alagoas;Homicídio doloso;2015;5;120
Alagoas;Lesão corporal seguida de morte;2015;5;2
Alagoas;Roubo a instituição financeira;2015;5;4
Alagoas;Roubo de carga;2015;5;5
Alagoas;Roubo de veículo;2015;5;233
Alagoas;Roubo seguido de morte (latrocínio);2015;5;6
Alagoas;Tentativa de homicídio;2015;5;55
Alagoas;Estupro;2015;6;42
Alagoas;Furto de veículo;2015;6;62
Alagoas;Homicídio doloso;2015;6;138
Alagoas;Lesão corporal seguida de morte;2015;6;0
Alagoas;Roubo a instituição financeira;2015;6;0
Alagoas;Roubo de carga;2015;6;2
Alagoas;Roubo de veículo;2015;6;234
Alagoas;Roubo seguido de morte (latrocínio);2015;6;2
Alagoas;Tentativa de homicídio;2015;6;48
Alagoas;Estupro;2015;7;45
Alagoas;Furto de veículo;2015;7;77
Alagoas;Homicídio doloso;2015;7;130
Alagoas;Lesão corporal seguida de morte;2015;7;0
Alagoas;Roubo a instituição financeira;2015;7;2
Alagoas;Roubo de carga;2015;7;12
Alagoas;Roubo de veículo;2015;7;328
Alagoas;Roubo seguido de morte (latrocínio);2015;7;8
Alagoas;Tentativa de homicídio;2015;7;51
Alagoas;Estupro;2015;8;53
Alagoas;Furto de veículo;2015;8;53
Alagoas;Homicídio doloso;2015;8;118
Alagoas;Lesão corporal seguida de morte;2015;8;2
Alagoas;Roubo a instituição financeira;2015;8;0
Alagoas;Roubo de carga;2015;8;8
Alagoas;Roubo de veículo;2015;8;237
Alagoas;Roubo seguido de morte (latrocínio);2015;8;6
Alagoas;Tentativa de homicídio;2015;8;55
Alagoas;Estupro;2015;9;42
Alagoas;Furto de veículo;2015;9;52
Alagoas;Homicídio doloso;2015;9;115
Alagoas;Lesão corporal seguida de morte;2015;9;0
Alagoas;Roubo a instituição financeira;2015;9;3
Alagoas;Roubo de carga;2015;9;13
Alagoas;Roubo de veículo;2015;9;218
